host_is_superhost,host_identity_verified,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,price
0,0,Apartment,Entire home/apt,4,1,1,1,Real Bed,38,93,9,9,9,10,9,strict,79
1,1,Apartment,Entire home/apt,3,1,1,1,Real Bed,37,96,9,10,10,9,10,moderate,80
0,1,Apartment,Entire home/apt,4,1.5,2,3,Real Bed,18,96,9,9,10,9,9,strict,60
1,1,Apartment,Entire home/apt,2,1,1,1,Real Bed,29,96,10,10,10,10,9,strict,40
1,0,Apartment,Private room,1,1,1,1,Real Bed,163,95,10,10,10,10,10,strict,35
1,1,Apartment,Private room,1,1,1,1,Real Bed,27,93,9,10,10,9,9,moderate,39
1,1,Apartment,Private room,2,1,1,0,Real Bed,220,95,9,10,10,10,10,strict,40
1,0,Apartment,Private room,2,1,1,1,Real Bed,103,91,10,10,10,9,9,strict,44
0,1,Apartment,Entire home/apt,5,1,1,6,Real Bed,308,87,10,10,10,10,10,strict,95
0,0,House,Private room,1,1,1,0,Real Bed,47,89,9,9,10,8,9,strict,18
0,1,Apartment,Entire home/apt,4,1.5,1,3,Real Bed,50,92,9,10,9,10,9,strict,79
1,1,Apartment,Private room,2,1.5,1,1,Real Bed,78,98,10,10,10,10,10,strict,45
1,0,House,Private room,2,1.5,1,1,Real Bed,63,94,10,10,10,9,9,strict,35
0,0,Apartment,Entire home/apt,2,1,1,1,Real Bed,17,96,10,10,10,10,10,moderate,94
0,0,Apartment,Entire home/apt,1,1,1,1,Real Bed,15,91,10,10,10,9,9,strict,80
1,0,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,16,100,10,10,10,10,10,moderate,400
0,0,Apartment,Private room,1,1,1,1,Real Bed,476,90,9,10,10,10,10,strict,38
1,0,House,Private room,6,1,2,2,Real Bed,209,97,10,10,10,10,10,strict,60
1,1,Apartment,Private room,2,1,1,2,Real Bed,146,96,10,10,10,10,10,moderate,40
0,1,Apartment,Entire home/apt,6,1.5,3,3,Real Bed,126,92,9,10,9,9,9,strict,130
0,1,Apartment,Entire home/apt,6,1.5,2,3,Real Bed,209,87,8,9,9,10,9,strict,240
0,1,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,135,88,9,9,9,9,9,strict,110
1,0,Apartment,Entire home/apt,3,1,2,2,Real Bed,55,94,10,10,10,10,10,strict,95
0,1,Apartment,Entire home/apt,4,1,1,1,Real Bed,29,90,9,9,9,10,9,strict,180
0,0,House,Private room,7,1.5,1,1,Real Bed,22,88,9,9,9,8,8,flexible,30
1,0,Apartment,Private room,1,1,1,1,Real Bed,282,98,10,10,10,10,10,strict,75
0,0,House,Private room,1,1,1,1,Real Bed,58,98,9,10,10,9,10,strict,29
1,0,Apartment,Entire home/apt,2,1,1,1,Real Bed,370,95,10,10,10,10,9,strict,140
1,1,Apartment,Private room,2,1,1,1,Real Bed,244,96,10,10,10,10,10,strict,48
1,0,Apartment,Private room,2,1,1,0,Real Bed,221,95,10,10,10,10,9,strict,100
1,1,House,Private room,2,1,1,1,Real Bed,172,97,10,10,10,10,10,strict,45
0,1,Apartment,Private room,3,1.5,1,2,Real Bed,478,92,10,10,10,10,9,strict,56
0,1,Apartment,Entire home/apt,4,2,2,3,Real Bed,115,95,10,10,10,10,9,strict,225
0,0,Apartment,Entire home/apt,3,1,1,1,Real Bed,119,95,9,10,10,10,9,moderate,120
0,1,Apartment,Entire home/apt,4,2,2,2,Real Bed,17,88,9,10,10,9,9,strict,150
